Gene stable ID	Gene stable ID version	Gene name	Gene description	Chromosome/scaffold name
ENSG00000278757	ENSG00000278757.1	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	1
ENSG00000293331	ENSG00000293331.2		novel transcript	1
ENSG00000225880	ENSG00000225880.7	LINC00115	long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]	1
ENSG00000235146	ENSG00000235146.3		novel transcript	1
ENSG00000225972	ENSG00000225972.1	MTND1P23	MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]	1
ENSG00000225630	ENSG00000225630.1	MTND2P28	MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]	1
ENSG00000237973	ENSG00000237973.1	MTCO1P12	MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]	1
ENSG00000278791	ENSG00000278791.1			1
ENSG00000229344	ENSG00000229344.1	MTCO2P12	MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]	1
ENSG00000240409	ENSG00000240409.1	MTATP8P1	MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571]	1
ENSG00000248527	ENSG00000248527.1	MTATP6P1	MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]	1
ENSG00000198744	ENSG00000198744.5	MTCO3P12	MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]	1
ENSG00000268663	ENSG00000268663.1	WBP1LP6	WBP1L pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:43956]	1
ENSG00000284662	ENSG00000284662.2	OR4F16	olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]	1
ENSG00000230021	ENSG00000230021.11		septin 14 (SEPT14) pseudogene	1
ENSG00000229376	ENSG00000229376.3	CICP3	capicua transcriptional repressor pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37742]	1
ENSG00000223181	ENSG00000223181.1	RNU6-1199P	RNA, U6 small nuclear 1199, pseudogene [Source:HGNC Symbol;Acc:HGNC:48162]	1
ENSG00000229905	ENSG00000229905.1		novel transcript	1
ENSG00000228327	ENSG00000228327.6		general transcription factor IIi (GTF2I) pseudogene	1
ENSG00000237491	ENSG00000237491.11	LINC01409	long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]	1
ENSG00000285268	ENSG00000285268.1		novel septin family pseudogene	1
ENSG00000230092	ENSG00000230092.8		F-box only protein 25 (FBXO25) pseudogene	1
ENSG00000177757	ENSG00000177757.3	FAM87B	family with sequence similarity 87 member B [Source:HGNC Symbol;Acc:HGNC:32236]	1
ENSG00000228794	ENSG00000228794.13	LINC01128	long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]	1
ENSG00000297178	ENSG00000297178.1		novel transcript	1
ENSG00000297224	ENSG00000297224.1		novel transcript	1
ENSG00000230368	ENSG00000230368.3	FAM41C	family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635]	1
ENSG00000234711	ENSG00000234711.1	TUBB8P11	tubulin beta 8 class VIII pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:32337]	1
ENSG00000283040	ENSG00000283040.1		FAM166A, pseudogene P3	1
ENSG00000296088	ENSG00000296088.1		novel transcript	1
ENSG00000272438	ENSG00000272438.2		novel transcript	1
ENSG00000298603	ENSG00000298603.1		novel transcript	1
ENSG00000223764	ENSG00000223764.3	LINC02593	long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]	1
ENSG00000187634	ENSG00000187634.13	SAMD11	sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]	1
ENSG00000188976	ENSG00000188976.11	NOC2L	NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]	1
ENSG00000187961	ENSG00000187961.15	KLHL17	kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]	1
ENSG00000187583	ENSG00000187583.11	PLEKHN1	pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]	1
ENSG00000187642	ENSG00000187642.10	PERM1	PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]	1
ENSG00000303599	ENSG00000303599.1		novel transcript	1
ENSG00000272512	ENSG00000272512.1		novel transcript	1
ENSG00000188290	ENSG00000188290.11	HES4	hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]	1
ENSG00000303623	ENSG00000303623.1		novel transcript	1
ENSG00000187608	ENSG00000187608.10	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	1
ENSG00000303614	ENSG00000303614.1		novel transcript, antisense to ISG15	1
ENSG00000231702	ENSG00000231702.2		ribosomal protein L39 (RPL39) pseudogene	1
ENSG00000224969	ENSG00000224969.1		novel transcript	1
ENSG00000188157	ENSG00000188157.16	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1
ENSG00000242590	ENSG00000242590.1		novel transcript	1
ENSG00000291156	ENSG00000291156.2		novel transcript	1
ENSG00000273443	ENSG00000273443.2		novel transcript	1
ENSG00000217801	ENSG00000217801.13		protein tyrosine phosphatase family pseudogene	1
ENSG00000304119	ENSG00000304119.1		novel transcript	1
ENSG00000304169	ENSG00000304169.1		novel transcript, antisense to RNF223	1
ENSG00000237330	ENSG00000237330.3	RNF223	ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]	1
ENSG00000131591	ENSG00000131591.18	C1orf159	chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]	1
ENSG00000285812	ENSG00000285812.1		novel transcript, antisense to C1orf159	1
ENSG00000299943	ENSG00000299943.1		novel transcript	1
ENSG00000223823	ENSG00000223823.1	LINC01342	long intergenic non-protein coding RNA 1342 [Source:HGNC Symbol;Acc:HGNC:50551]	1
ENSG00000304965	ENSG00000304965.1		novel transcript	1
ENSG00000207730	ENSG00000207730.3	MIR200B	microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]	1
ENSG00000207607	ENSG00000207607.3	MIR200A	microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]	1
ENSG00000198976	ENSG00000198976.1	MIR429	microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]	1
ENSG00000272141	ENSG00000272141.1		novel transcript	1
ENSG00000205231	ENSG00000205231.1	TTLL10-AS1	TTLL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41159]	1
ENSG00000162571	ENSG00000162571.14	TTLL10	tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]	1
ENSG00000186891	ENSG00000186891.14	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	1
ENSG00000186827	ENSG00000186827.12	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	1
ENSG00000078808	ENSG00000078808.20	SDF4	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	1
ENSG00000176022	ENSG00000176022.7	B3GALT6	beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]	1
ENSG00000184163	ENSG00000184163.3	C1QTNF12	C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308]	1
ENSG00000260179	ENSG00000260179.1		novel transcript	1
ENSG00000160087	ENSG00000160087.21	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	1
ENSG00000230415	ENSG00000230415.2	LINC01786	long intergenic non-protein coding RNA 1786 [Source:HGNC Symbol;Acc:HGNC:52575]	1
ENSG00000162572	ENSG00000162572.21	SCNN1D	sodium channel epithelial 1 subunit delta [Source:HGNC Symbol;Acc:HGNC:10601]	1
ENSG00000131584	ENSG00000131584.19	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]	1
ENSG00000278073	ENSG00000278073.1	MIR6726	microRNA 6726 [Source:HGNC Symbol;Acc:HGNC:50009]	1
ENSG00000169972	ENSG00000169972.13	PUSL1	pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]	1
ENSG00000127054	ENSG00000127054.22	INTS11	integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]	1
ENSG00000283712	ENSG00000283712.1	MIR6727	microRNA 6727 [Source:HGNC Symbol;Acc:HGNC:50171]	1
ENSG00000240731	ENSG00000240731.1		novel transcript	1
ENSG00000224051	ENSG00000224051.7	CPTP	ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]	1
ENSG00000169962	ENSG00000169962.5	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	1
ENSG00000107404	ENSG00000107404.21	DVL1	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	1
ENSG00000284372	ENSG00000284372.1	MIR6808	microRNA 6808 [Source:HGNC Symbol;Acc:HGNC:50046]	1
ENSG00000304860	ENSG00000304860.1		novel transcript, antisense to MXRA8 and DVL1	1
ENSG00000162576	ENSG00000162576.17	MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	1
ENSG00000175756	ENSG00000175756.14	AURKAIP1	aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]	1
ENSG00000223663	ENSG00000223663.2	NDUFB4P8	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:45256]	1
ENSG00000221978	ENSG00000221978.13	CCNL2	cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]	1
ENSG00000224870	ENSG00000224870.10	MRPL20-AS1	MRPL20 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27125]	1
ENSG00000242485	ENSG00000242485.6	MRPL20	mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]	1
ENSG00000264293	ENSG00000264293.2	RN7SL657P	RNA, 7SL, cytoplasmic 657, pseudogene [Source:HGNC Symbol;Acc:HGNC:46673]	1
ENSG00000301639	ENSG00000301639.1		novel transcript	1
ENSG00000272455	ENSG00000272455.1	MRPL20-DT	MRPL20 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54814]	1
ENSG00000235098	ENSG00000235098.9	ANKRD65	ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]	1
ENSG00000225905	ENSG00000225905.2	ANKRD65-AS1	ANKRD65 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55844]	1
ENSG00000205116	ENSG00000205116.4	TMEM88B	transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]	1
ENSG00000225285	ENSG00000225285.2	LINC01770	long intergenic non-protein coding RNA 1770 [Source:HGNC Symbol;Acc:HGNC:52560]	1
ENSG00000179403	ENSG00000179403.12	VWA1	von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]	1
ENSG00000215915	ENSG00000215915.10	ATAD3C	ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]	1
ENSG00000160072	ENSG00000160072.20	ATAD3B	ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]	1
ENSG00000290916	ENSG00000290916.2		novel transcript	1
ENSG00000284740	ENSG00000284740.3		ATPase family, AAA domain containing 3C (ATAD3C) pseudogene	1
ENSG00000197785	ENSG00000197785.14	ATAD3A	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]	1
ENSG00000205090	ENSG00000205090.10	TMEM240	transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]	1
ENSG00000299413	ENSG00000299413.1		novel transcript, antisense to TMEM240 and SSU72	1
ENSG00000160075	ENSG00000160075.12	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]	1
ENSG00000215014	ENSG00000215014.5	SSU72-AS1	SSU72 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:57014]	1
ENSG00000274481	ENSG00000274481.1		sulfiredoxin 1 (SRXN1) pseudogene	1
ENSG00000228594	ENSG00000228594.4	FNDC10	fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]	1
ENSG00000286989	ENSG00000286989.2		novel transcript	1
ENSG00000272106	ENSG00000272106.1		artifact	1
ENSG00000197530	ENSG00000197530.13	MIB2	MIB E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]	1
ENSG00000189409	ENSG00000189409.14	MMP23B	matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]	1
ENSG00000248333	ENSG00000248333.9	CDK11B	cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]	1
ENSG00000272004	ENSG00000272004.2		novel transcript, antisense to SLC35E2B	1
ENSG00000189339	ENSG00000189339.12	SLC35E2B	solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]	1
ENSG00000293187	ENSG00000293187.1		novel transcript	1
ENSG00000269737	ENSG00000269737.3		ribosomal protein S7 (RPS7) pseudogene	1
ENSG00000310190	ENSG00000310190.1		novel transcript, antisense to SLC35E2B	1
ENSG00000310238	ENSG00000310238.1		novel transcript	1
ENSG00000215914	ENSG00000215914.4	MMP23A	matrix metallopeptidase 23A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7170]	1
ENSG00000008128	ENSG00000008128.23	CDK11A	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]	1
ENSG00000268575	ENSG00000268575.1		novel transcript, readthrough between SLC35E2 and CDK11A	1
ENSG00000293188	ENSG00000293188.2		novel transcript	1
ENSG00000290854	ENSG00000290854.2		novel transcript	1
ENSG00000215790	ENSG00000215790.9	SLC35E2A	solute carrier family 35 member E2A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:20863]	1
ENSG00000227775	ENSG00000227775.4		ribosomal protein S7 (RPS7) pseudogene	1
ENSG00000008130	ENSG00000008130.15	NADK	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	1
ENSG00000302550	ENSG00000302550.1		novel transcript, antisense to GNB1	1
ENSG00000078369	ENSG00000078369.19	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	1
ENSG00000231050	ENSG00000231050.4	GNB1-DT	GNB1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55772]	1
ENSG00000303984	ENSG00000303984.1		novel transcript, sense intronic to GNB1	1
ENSG00000294910	ENSG00000294910.1		novel transcript	1
ENSG00000306476	ENSG00000306476.1		novel transcript	1
ENSG00000169885	ENSG00000169885.10	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	1
ENSG00000178821	ENSG00000178821.13	TMEM52	transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]	1
ENSG00000142609	ENSG00000142609.20	CFAP74	cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]	1
ENSG00000233542	ENSG00000233542.3		novel transcript	1
ENSG00000187730	ENSG00000187730.9	GABRD	gamma-aminobutyric acid type A receptor subunit delta [Source:HGNC Symbol;Acc:HGNC:4084]	1
ENSG00000304958	ENSG00000304958.1		novel transcript	1
ENSG00000226969	ENSG00000226969.2	PRKCZ-DT	PRKCZ divergent transcript [Source:HGNC Symbol;Acc:HGNC:55824]	1
ENSG00000067606	ENSG00000067606.17	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	1
ENSG00000308181	ENSG00000308181.1		novel transcript, antisense to PRKCZ	1
ENSG00000271806	ENSG00000271806.1		novel transcript, antisense PRKCZ	1
ENSG00000182873	ENSG00000182873.5	PRKCZ-AS1	PRKCZ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40477]	1
ENSG00000162585	ENSG00000162585.17	FAAP20	FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]	1
ENSG00000304038	ENSG00000304038.1		novel transcript	1
ENSG00000234396	ENSG00000234396.3		novel transcript	1
ENSG00000304143	ENSG00000304143.1		novel transcript	1
ENSG00000157933	ENSG00000157933.11	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	1
ENSG00000295493	ENSG00000295493.1		novel transcript, antisense to SKI	1
ENSG00000287356	ENSG00000287356.2		novel transcript, antisense to MORN1	1
ENSG00000116151	ENSG00000116151.14	MORN1	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]	1
ENSG00000272161	ENSG00000272161.1		novel transcript, sense intronic to MORN1	1
ENSG00000292993	ENSG00000292993.1		novel transcript	1
ENSG00000269896	ENSG00000269896.3		small nuclear ribonucleoprotein N (SNRPN) pseudogene	1
ENSG00000272420	ENSG00000272420.1		novel transcript, sense intronic to MORN1	1
ENSG00000295371	ENSG00000295371.1		novel transcript, antisense to MORN1	1
ENSG00000157916	ENSG00000157916.20	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	1
ENSG00000157911	ENSG00000157911.11	PEX10	peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]	1
ENSG00000149527	ENSG00000149527.18	PLCH2	phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]	1
ENSG00000224387	ENSG00000224387.1		novel transcript	1
ENSG00000229393	ENSG00000229393.1		novel transcript	1
ENSG00000157881	ENSG00000157881.16	PANK4	pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]	1
ENSG00000197921	ENSG00000197921.6	HES5	hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]	1
ENSG00000272449	ENSG00000272449.4		novel transcript	1
ENSG00000238164	ENSG00000238164.7	TNFRSF14-AS1	TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]	1
ENSG00000307979	ENSG00000307979.1		novel transcript	1
ENSG00000157873	ENSG00000157873.18	TNFRSF14	TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]	1
ENSG00000225931	ENSG00000225931.3		novel transcript	1
ENSG00000307958	ENSG00000307958.1		novel transcript	1
ENSG00000228037	ENSG00000228037.2		novel transcript	1
ENSG00000289610	ENSG00000289610.3		novel transcript	1
ENSG00000157870	ENSG00000157870.17	PRXL2B	peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]	1
ENSG00000142606	ENSG00000142606.16	MMEL1	membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]	1
ENSG00000237058	ENSG00000237058.2	MMEL1-AS1	MMEL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40695]	1
ENSG00000215912	ENSG00000215912.13	TTC34	tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]	1
ENSG00000285945	ENSG00000285945.1		novel transcript, antisense to TTC34	1
ENSG00000283259	ENSG00000283259.1		novel transcript, antisense to TTC34	1
ENSG00000233234	ENSG00000233234.1		novel transcript	1
ENSG00000287396	ENSG00000287396.2		novel transcript	1
ENSG00000231630	ENSG00000231630.1		novel transcript	1
ENSG00000302855	ENSG00000302855.1		novel transcript	1
ENSG00000295089	ENSG00000295089.1		novel transcript	1
ENSG00000300015	ENSG00000300015.1		novel transcript	1
ENSG00000284745	ENSG00000284745.2		novel transcript	1
ENSG00000169717	ENSG00000169717.7	ACTRT2	actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]	1
ENSG00000177133	ENSG00000177133.15	PRDM16-DT	PRDM16 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48664]	1
ENSG00000142611	ENSG00000142611.17	PRDM16	PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]	1
ENSG00000283572	ENSG00000283572.1	MIR4251	microRNA 4251 [Source:HGNC Symbol;Acc:HGNC:38370]	1
ENSG00000226286	ENSG00000226286.1		novel transcript	1
ENSG00000306427	ENSG00000306427.1		novel transcript, antisense to PRDM16	1
ENSG00000279839	ENSG00000279839.1		TEC	1
ENSG00000306439	ENSG00000306439.1		novel transcript, antisense to PRDM16	1
ENSG00000272235	ENSG00000272235.1		novel transcript	1
ENSG00000287828	ENSG00000287828.2		novel transcript, antisense to PRDM16	1
ENSG00000286518	ENSG00000286518.1		novel transcript, antisense to PRDM16	1
ENSG00000295754	ENSG00000295754.1		novel transcript	1
ENSG00000297626	ENSG00000297626.1		novel transcript	1
ENSG00000130762	ENSG00000130762.15	ARHGEF16	Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]	1
ENSG00000272088	ENSG00000272088.1		novel transcript	1
ENSG00000162591	ENSG00000162591.17	MEGF6	multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]	1
ENSG00000207776	ENSG00000207776.1	MIR551A	microRNA 551a [Source:HGNC Symbol;Acc:HGNC:32806]	1
ENSG00000309127	ENSG00000309127.1		novel transcript	1
ENSG00000238260	ENSG00000238260.4		novel transcript	1
ENSG00000158109	ENSG00000158109.15	TPRG1L	tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]	1
ENSG00000116213	ENSG00000116213.16	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	1
ENSG00000078900	ENSG00000078900.16	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	1
ENSG00000227589	ENSG00000227589.1	TP73-AS3	TP73 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:40590]	1
ENSG00000235131	ENSG00000235131.1	TP73-AS2	TP73 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40591]	1
ENSG00000293478	ENSG00000293478.2	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:29052]	1
ENSG00000276189	ENSG00000276189.1			1
ENSG00000227372	ENSG00000227372.13	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:29052]	1
ENSG00000162592	ENSG00000162592.10	CCDC27	coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]	1
ENSG00000296834	ENSG00000296834.1		novel transcript	1
ENSG00000235169	ENSG00000235169.11	SMIM1	small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]	1
ENSG00000130764	ENSG00000130764.10	LRRC47	leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]	1
ENSG00000266075	ENSG00000266075.2	RN7SL574P	RNA, 7SL, cytoplasmic 574, pseudogene [Source:HGNC Symbol;Acc:HGNC:46590]	1
ENSG00000272153	ENSG00000272153.1		novel transcript, antisense to LRRC47	1
ENSG00000116198	ENSG00000116198.14	CEP104	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	1
